[0.0, -98.0]
[20.0, -98.0]
[40.0, -98.0]
[60.0, -98.0]
[80.0, -98.0]
[100.0, -98.0]
[120.0, -98.0]
[140.0, -98.0]
[160.0, -98.0]
[180.0, -98.0]
[200.0, -98.0]
[210.0, -98.0]
[220.0, -97.0]
[230.0, -95.0]
[240.0, -92.0]
[250.0, -87.0]
[260.0, -81.0]
[270.0, -74.0]
[280.0, -63.0]
[290.0, -49.0]
[295.0, -37.0]
[300.0, -22.0]
[303.0, -5.0]
[303.0, 15.0]
[303.0, 35.0]
[303.0, 50.0]
[301.0, 63.0]
[295.0, 77.0]
[290.0, 83.0]
[285.0, 87.0]
[280.0, 90.0]
[275.0, 93.0]
[270.0, 94.5]
[250.0, 96.5]
[240.0, 96.5]
[230.0, 96.5]
[220.0, 96.5]
[210.0, 96.5]
[160.0, 96.5]
[110.0, 96.5]
[60.0, 96.5]
[50.0, 96.5]
[40.0, 99.0]
[40.0, 99.0]
[30.0, 103.0]
[20.0, 109.0]
[15.0, 115.0]
[15.0, 115.0]
[9.0, 125.0]
[5.0, 135.0]
[4.0, 145.0]
[3.0, 157.0]
[-0.5, 170.0]
[-7.0, 180.0]
[-14.0, 186.5]
[-29.0, 194.0]
[-45.0, 197.0]
[-56.5, 194.5]
[-65.5, 191.5]
[-81.5, 177.5]
[-87.0, 169.5]
[-90.0, 160.0]
[-92.0, 152.0]
[-97.5, 123.5]
[-104.5, 113.0]
[-118.0, 103.0]
[-144.0, 96.5]
[-167.0, 91.0]
[-180.5, 79.0]
[-187.0, 68.5]
[-191.0, 53.0]
[-191.0, 33.0]
[-191.0, 13.0]
[-191.0, -3.0]
[-189.0, -20.0]
[-184.5, -34.5]
[-178.5, -50.5]
[-166.5, -66.0]
[-150.0, -80.5]
[-138.5, -87.5]
[-125.0, -93.5]
[-113.5, -96.5]
[-96.0, -98.0]
[-76.0, -98.0]
[-56.0, -98.0]
[-36.0, -98.0]
[-16.0, -98.0]
